sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1083994_DF_080_080BDF0090_00778,18,193253,30,2538,0.9868871879451999,0.0069605568445475635,0.013824884792626729
1083995_DF_080_080BDF0090_00780,21,194683,57,1078,0.9942044230209509,0.018166089965397925,0.0356839422259983
1084105_DF_080_080BDF0090_00984,229,192038,1012,2560,0.9817605277804727,0.060247303341225994,0.11364764267990074
1084106_DF_080_080BDF0090_00986,361,190329,2451,2698,0.9737079948324899,0.06551724137931035,0.12297734627831715
1084107_DF_080_080BDF0090_00987,381,189786,1685,3987,0.971037433810426,0.06294399471336527,0.11843332297171277
1084108_DF_080_080BDF0090_00989,155,193351,915,1418,0.9880871532228004,0.06229903536977492,0.1172909572455543
1084119_DF_080_080BDF0090_01009,114,193464,617,1644,0.9884548021589162,0.048,0.0916030534351145
1084157_DF_080_080BDF0090_01081,48,193819,406,1566,0.9899305041386036,0.023762376237623763,0.04642166344294004
1084257_DF_080_080BDF0090_01340,3,194931,334,571,0.9953788571224322,0.003303964757709251,0.006586169045005488
1084259_DF_080_080BDF0090_01344,40,192489,812,2498,0.9830983614091167,0.011940298507462687,0.02359882005899705
1084264_DF_080_080BDF0090_01353,119,193435,722,1563,0.9883322525135443,0.049500831946755405,0.09433214427269124
1084273_DF_080_080BDF0090_01371,0,194013,0,1826,0.9906760144812831,0.0,0.0
1084274_DF_080_080BDF0090_01373,6,194973,11,849,0.9956086377075046,0.006928406466512702,0.013761467889908258
1084276_DF_080_080BDF0090_01376,25,191633,46,4135,0.9786508305291591,0.005943889681407513,0.01181753722524226
1084279_DF_080_080BDF0090_01382,109,190065,418,5247,0.9710731774569927,0.01887772774506408,0.03705592384837668
1084280_DF_080_080BDF0090_01384,164,187782,434,7459,0.9596964853782954,0.020354970832816184,0.039897822649312735
1084281_DF_080_080BDF0090_01385,179,189536,509,5615,0.968729415489254,0.028399174996033633,0.05522986732489972
1084296_DF_080_080BDF0090_01413,0,193551,59,2229,0.9883169338078728,0.0,0.0
1084307_DF_080_080BDF0090_01435,22,194644,462,711,0.9940103860824453,0.018410041841004185,0.036154478225143796
1084314_DF_080_080BDF0090_01448,27,194404,443,965,0.9928104208048448,0.018815331010452963,0.036935704514363885
1084318_DF_080_080BDF0090_01454,0,195207,102,530,0.9967728593385383,0.0,0.0
1084319_DF_080_080BDF0090_01456,174,193659,674,1332,0.9897568921409934,0.0798165137614679,0.14783347493627869
1084344_DF_080_080BDF0090_01499,15,193862,994,968,0.989981566490842,0.007587253414264037,0.015060240963855422
1084345_DF_080_080BDF0090_01501,36,193809,718,1276,0.9898181669636793,0.017733990147783252,0.03484995159728945
1084354_DF_080_080BDF0090_01515,369,189900,2044,3526,0.9715582698032568,0.06213167199865297,0.11699429296131895
1084355_DF_080_080BDF0090_01517,267,190408,1949,3215,0.9736314013041325,0.04916221690296446,0.09371709371709372
1084356_DF_080_080BDF0090_01519,44,194334,596,865,0.9925397903379817,0.029235880398671095,0.056810845706907684
1084371_DF_080_080BDF0090_01543,1,195531,179,128,0.9984323857862837,0.003246753246753247,0.006472491909385114
1084379_DF_080_080BDF0090_01558,18,194450,732,639,0.9929993515081266,0.012958963282937365,0.0255863539445629
